tradingDate,open,high,low,close,volume
2023-06-29,364.24,364.89,362.14,363.81,46151000.0
2023-06-30,367.55,370.49,367.23,369.42,58712501.0
2023-07-03,370.07,370.93,368.97,370.29,19432900.0
2023-07-05,368.7,372.01,368.66,370.28,34460900.0
2023-07-06,366.51,367.91,364.52,367.46,49374728.0
2023-07-07,367.23,370.48,366.01,366.24,47133749.0
2023-07-10,365.96,367.05,363.41,366.36,48498800.0
2023-07-11,366.79,368.63,364.62,368.17,38214146.0
2023-07-12,372.34,374.19,370.3,372.82,61975400.0
2023-07-13,376.05,379.99,375.46,379.15,46960012.0
2023-07-14,379.59,382.86,378.18,379.07,55148500.0
2023-07-17,379.8,383.5,379.31,382.61,40868915.0
2023-07-18,381.96,387.13,380.0,385.74,55343438.0
2023-07-19,386.82,387.98,384.3,385.65,54093000.0
2023-07-20,382.61,384.1,375.72,376.76,71941700.0
2023-07-21,379.18,379.92,375.19,375.63,60499643.0
2023-07-24,376.62,377.58,374.34,376.23,40380100.0
2023-07-25,376.95,380.47,376.93,378.78,38894400.0
2023-07-26,377.72,379.24,375.18,377.52,47075710.0
2023-07-27,383.07,384.71,375.31,376.62,63940225.0
2023-07-28,380.74,384.52,380.22,383.48,56902926.0
2023-07-31,383.79,384.88,382.34,383.68,44019905.0
2023-08-01,382.31,383.56,380.69,382.79,41308457.0
2023-08-02,379.26,379.26,373.13,374.39,72687107.0
2023-08-03,371.94,375.95,371.77,373.79,47855381.0
2023-08-04,375.75,378.1,371.53,372.04,61702759.0
2023-08-07,373.88,375.29,371.51,375.19,37230444.0
2023-08-08,372.64,372.66,368.82,372.0,44726500.0
2023-08-09,372.29,372.45,367.14,367.91,51150900.0
2023-08-10,370.97,374.36,367.04,368.59,72035300.0
2023-08-11,365.99,368.0,364.69,366.24,48707187.0
2023-08-14,365.43,370.47,364.7,370.35,42130802.0
2023-08-15,369.36,370.17,365.74,366.42,45539900.0
2023-08-16,365.87,367.43,362.44,362.54,53190525.0
2023-08-17,363.96,364.31,358.16,358.58,62604338.0
2023-08-18,355.26,359.41,354.71,358.13,61191389.0
2023-08-21,359.62,364.59,359.15,363.9,50696518.0
2023-08-22,366.55,366.56,362.68,363.38,44613509.0
2023-08-23,364.58,370.22,364.36,369.11,51770603.0
2023-08-24,372.64,372.74,361.01,361.22,66842500.0
2023-08-25,362.07,365.74,358.58,364.02,69960500.0
2023-08-28,366.99,367.71,364.25,366.76,40910019.0
2023-08-29,366.56,375.13,366.23,374.77,58492400.0
2023-08-30,374.88,377.45,373.86,376.86,41731511.0
2023-08-31,376.94,379.72,376.87,377.99,35730701.0
2023-09-01,380.4,380.83,376.08,377.59,39801177.0
2023-09-05,376.77,379.31,375.83,378.07,32344222.0
2023-09-06,377.28,377.63,372.7,374.74,42998735.0
2023-09-07,370.21,372.85,369.15,372.06,52060716.0
2023-09-08,372.01,374.85,371.6,372.58,35847359.0
2023-09-11,375.66,377.49,373.66,376.97,39936634.0
2023-09-12,375.27,376.95,372.5,372.79,41391024.0
2023-09-13,373.03,375.84,371.88,374.21,46300700.0
2023-09-14,375.99,378.27,373.89,377.27,48039400.0
2023-09-15,375.91,376.32,369.86,370.81,69811206.0
2023-09-18,369.32,371.79,369.03,370.66,36903545.0
2023-09-19,369.32,370.68,366.8,369.87,37621734.0
2023-09-20,370.95,371.31,364.46,364.54,45514200.0
2023-09-21,360.8,361.6,357.69,357.86,69734845.0
2023-09-22,359.63,361.8,357.59,357.91,51589700.0
2023-09-25,356.93,359.7,355.93,359.61,39168000.0
2023-09-26,356.99,357.54,353.21,354.21,53657748.0
2023-09-27,355.38,356.98,351.36,355.04,56066000.0
2023-09-28,354.11,360.17,353.24,358.01,56453312.0
2023-09-29,361.54,362.95,357.02,358.27,64829616.0
2023-10-02,358.54,362.68,357.92,361.26,51625100.0
2023-10-03,358.78,361.01,353.28,354.92,60478500.0
2023-10-04,355.77,360.61,355.3,359.75,54786700.0
2023-10-05,359.74,360.15,355.14,358.69,45897400.0
2023-10-06,355.65,365.91,354.85,364.7,75049119.0
2023-10-09,362.3,367.11,360.78,366.56,45304800.0
2023-10-10,366.9,371.28,366.39,368.59,46968806.0
2023-10-11,369.94,371.41,368.19,371.22,38215100.0
2023-10-12,371.73,373.74,367.5,369.93,49587942.0
2023-10-13,370.57,371.16,363.86,365.28,52519876.0
2023-10-16,366.62,370.48,366.47,369.41,44201100.0
2023-10-17,365.81,369.92,363.66,368.2,50999102.0
2023-10-18,365.67,367.91,362.02,363.37,54280500.0
2023-10-19,364.81,366.02,359.16,359.97,72274238.0
2023-10-20,359.46,360.04,354.37,354.6,72559723.0
2023-10-23,353.26,359.26,351.12,355.67,60665200.0
2023-10-24,357.51,359.91,355.79,359.13,47082100.0
2023-10-25,356.7,356.88,349.75,350.34,71190536.0
2023-10-26,349.12,350.07,342.35,343.66,78621425.0
2023-10-27,346.43,348.84,344.08,345.31,63476707.0
2023-10-30,347.83,350.54,346.45,349.2,55298536.0
2023-10-31,349.23,351.25,346.62,350.87,47671906.0
2023-11-01,351.72,357.53,351.62,356.96,58992700.0
2023-11-02,361.54,363.68,360.3,363.44,58162442.0
2023-11-03,364.75,369.02,364.52,367.71,53280457.0
2023-11-06,368.49,369.78,366.91,369.21,38848743.0
2023-11-07,370.27,373.58,369.05,372.7,50777400.0
